date,field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8,field_9,field_10,field_11,field_12,field_13,field_14,field_15,field_16,field_17,field_18,field_19,field_20,field_21,field_22,field_23,field_24,field_25,field_26,field_27,field_28,field_29
2020-01-17,618.16,1609,Category_B,ACTIVE,476.83,1591,Category_B,ACTIVE,345.17,8718,Category_D,PENDING,564.77,2840,Category_A,FAILED,816.52,1171,Category_B,PENDING,860.4,8053,Category_C,COMPLETED,380.47,6608,Category_B,PENDING,807.59
2020-01-18,387.45,3988,Category_D,COMPLETED,720.44,1929,Category_B,ACTIVE,583.87,4648,Category_A,ACTIVE,45.57,3366,Category_A,PENDING,11.16,2601,Category_E,PENDING,892.79,6589,Category_B,ACTIVE,503.82,6017,Category_B,COMPLETED,412.83
2020-01-19,333.17,6191,Category_D,FAILED,420.3,5759,Category_E,COMPLETED,132.82,8856,Category_C,PENDING,637.17,9806,Category_C,ACTIVE,16.62,5537,Category_D,ACTIVE,865.27,9600,Category_E,COMPLETED,693.99,2074,Category_C,ACTIVE,816.42
2020-01-20,321.05,3002,Category_E,FAILED,408.16,6839,Category_E,FAILED,62.48,1836,Category_D,ACTIVE,537.89,1814,Category_C,ACTIVE,767.34,8214,Category_D,PENDING,66.09,1417,Category_B,ACTIVE,273.45,5940,Category_C,PENDING,954.41
2020-01-21,665.39,8329,Category_E,FAILED,737.8,1450,Category_B,PENDING,24.92,2065,Category_B,COMPLETED,893.5,8688,Category_C,COMPLETED,653.61,6341,Category_C,PENDING,332.65,2811,Category_A,COMPLETED,765.98,7678,Category_D,FAILED,168.28
2020-01-22,20.9,9721,Category_D,PENDING,983.41,8435,Category_E,ACTIVE,770.07,5777,Category_D,FAILED,450.94,8280,Category_C,COMPLETED,304.89,4910,Category_C,ACTIVE,857.28,9517,Category_E,PENDING,775.52,8077,Category_E,FAILED,622.47
2020-01-23,466.84,567,Category_B,COMPLETED,689.98,1984,Category_E,PENDING,720.32,3747,Category_A,FAILED,646.02,6406,Category_A,COMPLETED,686.47,2028,Category_D,COMPLETED,227.32,1963,Category_C,COMPLETED,681.62,9397,Category_A,PENDING,209.01
2020-01-24,83.37,5517,Category_D,PENDING,654.27,5926,Category_E,ACTIVE,38.0,9661,Category_C,FAILED,435.33,3583,Category_C,ACTIVE,165.7,5849,Category_B,COMPLETED,922.57,934,Category_B,FAILED,222.68,7402,Category_B,FAILED,481.0
2020-01-25,609.16,8747,Category_C,COMPLETED,506.37,4786,Category_C,PENDING,251.56,8984,Category_D,PENDING,48.91,4128,Category_C,ACTIVE,162.54,4557,Category_E,ACTIVE,584.6,2398,Category_C,PENDING,658.52,2059,Category_C,PENDING,258.67
2020-01-26,187.0,3728,Category_D,PENDING,410.77,8181,Category_E,FAILED,325.61,3351,Category_E,COMPLETED,725.37,7373,Category_A,PENDING,505.66,4000,Category_B,FAILED,831.35,438,Category_D,PENDING,992.3,3294,Category_D,ACTIVE,464.06
2020-01-27,274.85,8884,Category_C,FAILED,919.9,8009,Category_E,FAILED,517.43,8233,Category_B,FAILED,254.78,385,Category_C,FAILED,969.05,8986,Category_E,ACTIVE,122.12,9128,Category_D,PENDING,998.43,3688,Category_E,ACTIVE,98.25
2020-01-28,833.58,3904,Category_D,PENDING,580.13,1678,Category_B,FAILED,47.79,3721,Category_C,FAILED,83.59,2222,Category_C,ACTIVE,126.23,5039,Category_D,FAILED,237.08,3374,Category_C,FAILED,443.19,1586,Category_E,ACTIVE,677.0
2020-01-29,677.34,2887,Category_B,PENDING,548.69,6512,Category_C,ACTIVE,385.74,4612,Category_C,ACTIVE,264.27,5053,Category_B,PENDING,286.64,9712,Category_C,ACTIVE,442.39,4825,Category_E,ACTIVE,885.5,1076,Category_A,ACTIVE,24.79
2020-01-30,149.51,6211,Category_A,FAILED,500.57,6648,Category_D,COMPLETED,916.57,6683,Category_B,ACTIVE,348.18,3523,Category_D,PENDING,46.65,9618,Category_A,PENDING,757.58,2721,Category_D,COMPLETED,23.98,8963,Category_A,FAILED,712.65
2020-01-31,156.45,7456,Category_D,ACTIVE,924.27,1029,Category_D,COMPLETED,512.79,295,Category_B,FAILED,571.71,2625,Category_D,PENDING,52.0,853,Category_D,ACTIVE,907.6,5110,Category_B,COMPLETED,701.3,9236,Category_B,COMPLETED,29.93
2020-02-01,212.48,9405,Category_D,FAILED,101.05,7834,Category_D,FAILED,295.91,8733,Category_A,ACTIVE,967.0,8420,Category_B,COMPLETED,138.96,4364,Category_D,PENDING,999.0,6286,Category_E,FAILED,749.96,1611,Category_C,ACTIVE,503.64
2020-02-02,503.02,137,Category_D,PENDING,293.76,3866,Category_E,PENDING,389.56,2276,Category_B,PENDING,641.0,8095,Category_E,ACTIVE,779.11,5036,Category_C,COMPLETED,72.84,7818,Category_C,PENDING,891.44,5008,Category_C,PENDING,499.81
2020-02-03,786.61,9002,Category_C,COMPLETED,135.99,414,Category_E,PENDING,414.72,6495,Category_E,ACTIVE,241.74,5649,Category_B,COMPLETED,491.01,840,Category_E,COMPLETED,818.91,3481,Category_E,ACTIVE,181.83,4154,Category_E,PENDING,803.74
2020-02-04,472.08,2674,Category_C,PENDING,130.39,6287,Category_A,FAILED,494.56,5550,Category_A,ACTIVE,552.85,9122,Category_A,FAILED,279.1,5167,Category_B,PENDING,907.42,1791,Category_C,FAILED,111.46,427,Category_E,ACTIVE,327.69
2020-02-05,824.9,8651,Category_D,COMPLETED,707.92,7402,Category_C,ACTIVE,751.42,1135,Category_A,PENDING,344.69,1338,Category_A,ACTIVE,223.42,7212,Category_A,FAILED,703.97,9656,Category_C,FAILED,695.59,9552,Category_A,ACTIVE,408.29
2020-02-06,644.73,2104,Category_E,COMPLETED,556.02,7902,Category_D,COMPLETED,156.85,9578,Category_C,ACTIVE,397.84,1658,Category_C,COMPLETED,115.39,1025,Category_B,PENDING,907.95,7980,Category_B,PENDING,801.58,6969,Category_A,PENDING,438.57
2020-02-07,319.7,2129,Category_C,ACTIVE,896.01,9240,Category_C,ACTIVE,127.15,9493,Category_A,COMPLETED,706.86,4552,Category_A,ACTIVE,112.23,2835,Category_A,FAILED,488.73,5732,Category_B,COMPLETED,200.06,6974,Category_E,PENDING,298.0
2020-02-08,699.64,8055,Category_B,ACTIVE,314.89,3770,Category_D,COMPLETED,750.11,4612,Category_D,FAILED,431.05,3342,Category_E,FAILED,368.68,7917,Category_B,PENDING,919.96,3724,Category_D,PENDING,773.38,1798,Category_D,COMPLETED,953.74
2020-02-09,795.23,3425,Category_E,PENDING,938.3,5837,Category_A,ACTIVE,806.81,7212,Category_A,COMPLETED,739.54,2344,Category_E,FAILED,574.61,1808,Category_E,PENDING,34.74,833,Category_B,FAILED,303.9,938,Category_A,ACTIVE,590.47
2020-02-10,751.57,5885,Category_C,PENDING,895.18,7256,Category_A,ACTIVE,315.3,9385,Category_A,COMPLETED,415.16,9505,Category_A,COMPLETED,127.18,7730,Category_E,ACTIVE,642.98,6050,Category_A,FAILED,54.11,7115,Category_E,COMPLETED,871.53
2020-02-11,581.78,2666,Category_A,PENDING,999.74,6358,Category_D,ACTIVE,986.93,328,Category_C,ACTIVE,76.31,289,Category_B,PENDING,186.73,7261,Category_B,COMPLETED,588.29,2915,Category_E,ACTIVE,157.19,7557,Category_C,PENDING,967.48
2020-02-12,495.71,8937,Category_C,ACTIVE,626.13,4481,Category_D,FAILED,932.41,9190,Category_A,COMPLETED,381.68,7952,Category_A,ACTIVE,939.98,5441,Category_E,COMPLETED,281.81,1449,Category_E,COMPLETED,879.91,7916,Category_E,ACTIVE,345.08
2020-02-13,377.25,8571,Category_D,FAILED,843.8,3853,Category_C,ACTIVE,388.5,6941,Category_E,FAILED,47.27,6823,Category_E,COMPLETED,695.26,9081,Category_B,COMPLETED,450.23,9587,Category_B,COMPLETED,536.43,1448,Category_D,COMPLETED,189.38
2020-02-14,975.11,6179,Category_E,COMPLETED,653.61,4278,Category_D,FAILED,957.65,4876,Category_D,FAILED,450.22,8981,Category_B,ACTIVE,597.18,6041,Category_C,PENDING,445.59,8671,Category_B,ACTIVE,285.28,1639,Category_D,PENDING,53.35
2020-02-15,220.2,5031,Category_E,PENDING,353.55,8290,Category_A,COMPLETED,962.43,7114,Category_D,PENDING,798.42,9398,Category_B,FAILED,834.92,9782,Category_D,ACTIVE,357.53,4799,Category_C,COMPLETED,550.07,2249,Category_E,PENDING,818.99
2020-02-16,776.34,6207,Category_C,PENDING,368.71,6571,Category_A,PENDING,995.14,4367,Category_A,PENDING,892.56,284,Category_D,FAILED,111.14,8053,Category_A,ACTIVE,904.75,6009,Category_A,FAILED,294.16,493,Category_A,PENDING,555.7
2020-02-17,413.8,7506,Category_E,FAILED,158.84,4039,Category_C,FAILED,615.94,966,Category_A,FAILED,926.62,9956,Category_B,FAILED,926.57,2323,Category_B,FAILED,930.56,5746,Category_E,FAILED,503.24,179,Category_C,PENDING,650.47
2020-02-18,433.54,437,Category_D,ACTIVE,499.19,6850,Category_B,ACTIVE,134.96,2460,Category_A,ACTIVE,190.65,7083,Category_D,PENDING,209.62,7493,Category_C,FAILED,61.58,3029,Category_D,COMPLETED,200.4,766,Category_A,PENDING,648.24
2020-02-19,865.21,6849,Category_C,FAILED,212.54,1229,Category_A,COMPLETED,799.35,1894,Category_B,FAILED,523.85,8347,Category_A,COMPLETED,194.92,117,Category_E,COMPLETED,383.92,4740,Category_B,COMPLETED,831.27,6982,Category_B,COMPLETED,865.38
2020-02-20,905.84,8702,Category_D,COMPLETED,106.3,6548,Category_E,ACTIVE,701.37,1287,Category_B,ACTIVE,171.04,8849,Category_C,COMPLETED,870.27,6796,Category_B,COMPLETED,391.34,508,Category_C,ACTIVE,352.16,6020,Category_D,COMPLETED,226.29
2020-02-21,653.03,1530,Category_B,COMPLETED,632.17,7430,Category_D,ACTIVE,974.45,2426,Category_D,ACTIVE,980.77,4212,Category_C,COMPLETED,376.74,9875,Category_D,PENDING,107.65,4631,Category_A,FAILED,243.1,1883,Category_C,ACTIVE,919.99
2020-02-22,979.74,5928,Category_D,ACTIVE,496.97,9515,Category_E,ACTIVE,419.01,2669,Category_E,ACTIVE,915.03,990,Category_A,PENDING,834.2,3769,Category_D,COMPLETED,37.81,811,Category_B,ACTIVE,140.3,8280,Category_C,FAILED,178.17
2020-02-23,955.0,7921,Category_E,PENDING,600.5,144,Category_D,ACTIVE,539.29,2184,Category_A,FAILED,726.48,8708,Category_B,COMPLETED,201.48,8891,Category_D,ACTIVE,793.53,78,Category_A,COMPLETED,445.81,7674,Category_E,FAILED,186.44
2020-02-24,287.51,8361,Category_E,FAILED,538.57,4069,Category_E,FAILED,629.13,907,Category_B,COMPLETED,773.04,5106,Category_D,FAILED,634.51,1412,Category_C,PENDING,265.48,5888,Category_C,COMPLETED,802.33,1985,Category_B,ACTIVE,848.67
2020-02-25,168.56,2193,Category_A,PENDING,22.61,1126,Category_A,PENDING,881.39,2644,Category_A,FAILED,270.76,9430,Category_C,ACTIVE,47.97,6767,Category_D,ACTIVE,838.56,3704,Category_D,FAILED,177.02,5988,Category_D,PENDING,77.41
2020-02-26,241.17,8925,Category_A,ACTIVE,931.08,3444,Category_A,FAILED,192.36,2324,Category_C,FAILED,372.42,5587,Category_B,ACTIVE,644.83,6293,Category_C,ACTIVE,686.58,6255,Category_E,ACTIVE,102.49,5473,Category_B,COMPLETED,257.99
2020-02-27,100.68,7240,Category_B,PENDING,191.18,9315,Category_A,FAILED,804.16,21,Category_C,FAILED,194.33,1882,Category_C,ACTIVE,642.73,6085,Category_B,ACTIVE,671.66,6474,Category_C,FAILED,18.34,9219,Category_A,PENDING,87.47
2020-02-28,397.78,4100,Category_D,PENDING,247.44,866,Category_C,FAILED,637.57,5217,Category_C,COMPLETED,208.28,9316,Category_B,ACTIVE,942.13,7487,Category_C,ACTIVE,905.27,7773,Category_D,ACTIVE,74.38,2903,Category_E,FAILED,558.32
2020-02-29,816.25,7108,Category_A,FAILED,741.33,910,Category_E,FAILED,723.99,5427,Category_B,FAILED,510.67,1311,Category_E,ACTIVE,526.06,1060,Category_B,PENDING,132.52,208,Category_B,COMPLETED,393.05,2935,Category_E,FAILED,510.56
2020-03-01,394.57,559,Category_B,PENDING,98.66,4355,Category_D,FAILED,681.77,8933,Category_A,ACTIVE,137.01,7454,Category_B,ACTIVE,692.8,1712,Category_D,ACTIVE,268.88,8080,Category_B,ACTIVE,27.78,5084,Category_A,ACTIVE,104.01
2020-03-02,514.18,5052,Category_A,ACTIVE,95.49,7515,Category_B,ACTIVE,650.12,3236,Category_D,FAILED,611.9,1520,Category_E,COMPLETED,534.19,3849,Category_C,COMPLETED,971.02,1873,Category_B,ACTIVE,237.22,2415,Category_C,ACTIVE,444.0
2020-03-03,395.08,9445,Category_B,PENDING,166.75,2748,Category_B,PENDING,621.22,2616,Category_E,FAILED,236.67,3511,Category_E,ACTIVE,839.99,7896,Category_B,ACTIVE,509.64,7019,Category_D,PENDING,255.29,704,Category_C,FAILED,858.23
2020-03-04,296.71,3060,Category_E,FAILED,647.85,8244,Category_D,PENDING,595.05,2636,Category_C,FAILED,618.21,1467,Category_A,ACTIVE,677.29,8504,Category_C,PENDING,540.48,4108,Category_A,FAILED,332.82,8859,Category_D,PENDING,20.06
2020-03-05,940.32,829,Category_C,ACTIVE,605.33,3338,Category_B,ACTIVE,830.76,9750,Category_C,PENDING,987.75,5557,Category_D,ACTIVE,15.5,7315,Category_D,PENDING,171.35,8501,Category_A,ACTIVE,387.39,2157,Category_C,PENDING,900.42
2020-03-06,241.46,8877,Category_B,COMPLETED,450.41,3543,Category_E,PENDING,202.48,5090,Category_E,ACTIVE,399.03,3223,Category_D,ACTIVE,275.49,7453,Category_E,PENDING,206.97,9933,Category_B,COMPLETED,93.57,7171,Category_B,ACTIVE,99.61
2020-03-07,751.49,5734,Category_D,FAILED,979.87,1402,Category_C,PENDING,811.55,6887,Category_C,FAILED,676.62,5217,Category_A,COMPLETED,431.16,5808,Category_E,ACTIVE,368.48,8297,Category_A,COMPLETED,209.91,9475,Category_A,COMPLETED,673.8
2020-03-08,943.55,1832,Category_E,FAILED,278.06,7593,Category_B,COMPLETED,571.29,2521,Category_B,COMPLETED,43.23,5433,Category_E,COMPLETED,790.8,9935,Category_B,PENDING,766.93,459,Category_D,FAILED,115.78,7686,Category_A,FAILED,973.23
2020-03-09,294.12,7697,Category_A,ACTIVE,710.7,1328,Category_B,ACTIVE,257.35,1196,Category_D,COMPLETED,896.21,3867,Category_C,FAILED,855.59,4213,Category_E,COMPLETED,561.97,6447,Category_E,FAILED,281.72,420,Category_C,COMPLETED,774.08
2020-03-10,708.65,1507,Category_D,COMPLETED,313.58,9537,Category_C,FAILED,251.18,4430,Category_E,ACTIVE,761.98,7518,Category_C,COMPLETED,797.74,9441,Category_E,FAILED,969.89,9977,Category_C,ACTIVE,729.97,6587,Category_D,COMPLETED,419.05
2020-03-11,480.78,6092,Category_E,COMPLETED,80.46,5141,Category_C,FAILED,773.87,7982,Category_E,COMPLETED,544.93,9688,Category_E,ACTIVE,617.37,8151,Category_E,FAILED,972.87,1046,Category_C,FAILED,109.11,5565,Category_A,COMPLETED,16.73
2020-03-12,778.82,7417,Category_E,COMPLETED,370.46,7745,Category_C,FAILED,699.58,6485,Category_D,FAILED,149.4,3620,Category_B,PENDING,89.73,2391,Category_E,ACTIVE,471.1,5751,Category_C,PENDING,262.02,1246,Category_D,PENDING,977.45
2020-03-13,180.35,8149,Category_E,PENDING,925.19,5475,Category_B,FAILED,340.8,3787,Category_A,ACTIVE,471.88,4603,Category_C,PENDING,407.62,7533,Category_B,FAILED,909.24,291,Category_D,COMPLETED,654.88,6136,Category_E,FAILED,249.75
2020-03-14,348.43,8800,Category_D,COMPLETED,998.6,7827,Category_B,ACTIVE,225.96,1650,Category_E,FAILED,502.44,2788,Category_B,ACTIVE,474.01,2583,Category_A,COMPLETED,125.38,6464,Category_C,FAILED,427.74,4427,Category_D,ACTIVE,927.17
2020-03-15,604.49,9334,Category_B,ACTIVE,967.87,407,Category_E,COMPLETED,551.46,9746,Category_A,PENDING,147.83,4996,Category_C,ACTIVE,236.12,3463,Category_B,COMPLETED,171.89,5626,Category_B,FAILED,123.66,3370,Category_E,FAILED,501.04
2020-03-16,734.79,3642,Category_E,ACTIVE,186.33,1279,Category_C,ACTIVE,908.76,406,Category_E,FAILED,181.71,2616,Category_E,FAILED,709.27,447,Category_D,COMPLETED,922.93,6632,Category_E,ACTIVE,346.84,3087,Category_A,COMPLETED,972.98
2020-03-17,357.66,4059,Category_C,ACTIVE,978.22,3056,Category_B,ACTIVE,649.46,7605,Category_B,COMPLETED,879.7,9338,Category_A,FAILED,538.81,5275,Category_E,COMPLETED,920.45,3417,Category_E,FAILED,238.09,7475,Category_C,ACTIVE,919.68
2020-03-18,156.45,3792,Category_A,PENDING,166.77,9006,Category_D,FAILED,854.76,9439,Category_A,PENDING,330.46,8614,Category_E,COMPLETED,431.72,1944,Category_A,PENDING,295.09,3624,Category_C,PENDING,907.42,8668,Category_C,FAILED,710.23
2020-03-19,472.8,5750,Category_D,ACTIVE,84.24,8983,Category_B,PENDING,793.18,8074,Category_D,COMPLETED,363.98,5355,Category_E,COMPLETED,433.99,4095,Category_A,COMPLETED,137.66,7348,Category_A,FAILED,234.51,861,Category_E,COMPLETED,806.75
2020-03-20,948.08,1209,Category_D,COMPLETED,197.09,1599,Category_C,COMPLETED,739.26,1857,Category_E,FAILED,965.43,332,Category_C,ACTIVE,817.8,7387,Category_A,COMPLETED,806.3,9516,Category_B,PENDING,86.42,6080,Category_B,COMPLETED,787.22
2020-03-21,73.32,9150,Category_D,ACTIVE,411.34,4593,Category_C,ACTIVE,953.27,6197,Category_C,FAILED,866.49,2896,Category_D,COMPLETED,127.83,2450,Category_E,COMPLETED,965.32,2916,Category_D,ACTIVE,633.21,7806,Category_E,FAILED,783.15
2020-03-22,759.77,8410,Category_E,ACTIVE,449.95,1524,Category_B,PENDING,267.18,8276,Category_E,ACTIVE,417.42,5865,Category_B,FAILED,324.79,5925,Category_D,PENDING,334.15,990,Category_B,ACTIVE,734.47,2017,Category_E,FAILED,164.65
2020-03-23,867.97,7009,Category_B,ACTIVE,527.98,3712,Category_E,ACTIVE,610.0,741,Category_A,FAILED,748.28,4869,Category_E,PENDING,537.0,3493,Category_D,PENDING,503.84,4651,Category_D,COMPLETED,685.17,9766,Category_C,ACTIVE,55.11
2020-03-24,568.74,7216,Category_D,PENDING,172.71,4132,Category_A,PENDING,415.7,4447,Category_A,ACTIVE,888.62,7856,Category_D,FAILED,949.36,7606,Category_B,FAILED,573.95,6155,Category_B,COMPLETED,376.6,1937,Category_D,FAILED,160.56
2020-03-25,328.81,3545,Category_A,PENDING,829.72,8645,Category_A,PENDING,503.99,3334,Category_C,COMPLETED,457.88,2601,Category_D,PENDING,606.77,2812,Category_C,FAILED,889.45,7829,Category_C,PENDING,449.03,7218,Category_D,COMPLETED,795.64
2020-03-26,916.61,4953,Category_A,PENDING,426.84,4765,Category_B,PENDING,962.02,1794,Category_C,ACTIVE,972.41,4931,Category_D,PENDING,250.26,1575,Category_C,PENDING,75.51,6829,Category_B,COMPLETED,159.35,9065,Category_D,ACTIVE,505.24
2020-03-27,341.01,2075,Category_D,COMPLETED,846.01,164,Category_B,PENDING,723.26,2817,Category_A,ACTIVE,299.09,8021,Category_D,ACTIVE,198.34,2787,Category_B,PENDING,536.31,9071,Category_D,FAILED,982.94,621,Category_D,FAILED,354.07
2020-03-28,576.85,3223,Category_D,ACTIVE,828.58,7301,Category_B,PENDING,502.14,8878,Category_E,FAILED,664.53,7371,Category_E,COMPLETED,832.15,5982,Category_A,PENDING,732.81,5294,Category_C,ACTIVE,142.22,2536,Category_D,ACTIVE,480.86
2020-03-29,676.19,5570,Category_B,FAILED,452.36,6651,Category_C,PENDING,200.34,5873,Category_B,PENDING,302.85,6049,Category_C,COMPLETED,308.59,5467,Category_A,COMPLETED,15.56,1102,Category_D,ACTIVE,167.92,9249,Category_E,COMPLETED,878.3
2020-03-30,975.34,4496,Category_E,COMPLETED,583.83,7616,Category_A,PENDING,469.71,1756,Category_B,PENDING,701.88,3057,Category_C,ACTIVE,588.0,1680,Category_A,FAILED,691.99,2117,Category_B,PENDING,276.6,5660,Category_B,COMPLETED,210.47
2020-03-31,864.57,2899,Category_D,ACTIVE,909.31,6901,Category_C,ACTIVE,284.08,3164,Category_B,FAILED,425.61,2175,Category_A,PENDING,544.41,8068,Category_E,COMPLETED,953.39,3222,Category_D,ACTIVE,84.72,211,Category_C,PENDING,853.49
2020-04-01,486.31,7654,Category_D,PENDING,120.29,5088,Category_D,ACTIVE,578.25,3518,Category_A,PENDING,328.21,9921,Category_D,COMPLETED,84.0,7377,Category_B,FAILED,745.2,8068,Category_D,PENDING,690.71,8971,Category_D,COMPLETED,436.76
2020-04-02,187.68,5784,Category_C,ACTIVE,873.81,886,Category_A,PENDING,434.89,2036,Category_C,PENDING,577.68,8924,Category_E,COMPLETED,319.69,5910,Category_B,ACTIVE,118.79,7756,Category_D,PENDING,708.96,5411,Category_E,ACTIVE,312.33
2020-04-03,148.45,9355,Category_C,PENDING,731.09,8897,Category_D,ACTIVE,359.0,9364,Category_A,COMPLETED,321.59,3358,Category_D,PENDING,701.59,5700,Category_D,ACTIVE,650.75,4313,Category_E,COMPLETED,591.33,830,Category_D,FAILED,59.32
2020-04-04,606.69,2982,Category_A,PENDING,198.47,6898,Category_A,PENDING,756.84,3857,Category_B,FAILED,946.98,98,Category_C,ACTIVE,702.4,7836,Category_A,FAILED,388.79,6008,Category_C,FAILED,260.41,2070,Category_D,FAILED,510.6
2020-04-05,403.51,5970,Category_A,ACTIVE,975.65,9726,Category_E,COMPLETED,947.55,5785,Category_E,ACTIVE,645.77,9105,Category_C,PENDING,517.03,5773,Category_B,ACTIVE,70.16,6798,Category_E,ACTIVE,430.31,2126,Category_E,PENDING,400.85
2020-04-06,763.89,3524,Category_E,PENDING,850.86,4715,Category_C,COMPLETED,249.51,5498,Category_A,PENDING,616.39,2469,Category_B,FAILED,997.55,2369,Category_D,FAILED,136.73,3224,Category_D,FAILED,426.0,6623,Category_A,PENDING,978.47
2020-04-07,408.41,7870,Category_A,FAILED,187.03,5561,Category_D,COMPLETED,843.03,9648,Category_B,FAILED,280.52,8594,Category_D,COMPLETED,781.51,2858,Category_B,ACTIVE,370.62,5964,Category_E,COMPLETED,434.38,1987,Category_D,COMPLETED,471.45
2020-04-08,370.6,4203,Category_A,FAILED,501.93,7439,Category_C,ACTIVE,533.78,2896,Category_D,PENDING,751.7,9080,Category_D,COMPLETED,471.43,5656,Category_B,PENDING,681.21,2204,Category_E,FAILED,522.57,2220,Category_E,FAILED,855.85
2020-04-09,878.18,9714,Category_A,FAILED,703.67,8887,Category_A,COMPLETED,67.91,8291,Category_D,ACTIVE,964.31,5164,Category_B,FAILED,735.81,2927,Category_D,COMPLETED,140.62,6252,Category_E,COMPLETED,209.41,3617,Category_A,ACTIVE,511.02
