date,field_1,field_2,field_3,field_4,field_5,field_6
2021-01-03,386.99,185,Group_Delta,PROCESSING,377.93,4804
2021-01-04,449.95,2562,Group_Delta,APPROVED,423.24,3826
2021-01-05,420.66,3559,Group_Delta,PROCESSING,183.97,4489
2021-01-06,148.95,1405,Group_Beta,PROCESSING,451.13,4106
2021-01-07,311.02,2730,Group_Delta,APPROVED,172.85,524
2021-01-08,435.4,899,Group_Delta,REJECTED,137.14,2871
2021-01-09,363.82,4941,Group_Beta,PENDING,379.28,1828
2021-01-10,108.83,1122,Group_Beta,APPROVED,250.24,49
2021-01-02,180.4,2625,Group_Delta,REJECTED,402.97,468
2021-01-03,344.74,935,Group_Alpha,REJECTED,355.54,788
2021-01-04,441.78,446,Group_Delta,PENDING,207.82,2770
2021-01-05,443.95,16,Group_Alpha,PENDING,469.72,799
2021-01-06,485.11,498,Group_Alpha,APPROVED,370.59,820
2021-01-07,445.88,2188,Group_Alpha,PROCESSING,239.97,847
2021-01-08,265.22,390,Group_Delta,PROCESSING,165.35,3880
2021-01-09,67.53,2354,Group_Beta,PENDING,430.59,283
2021-01-10,28.81,1164,Group_Beta,PENDING,282.91,1978
2021-01-02,280.38,1401,Group_Alpha,PENDING,23.83,2933
2021-01-03,17.02,2624,Group_Beta,APPROVED,218.26,4848
2021-01-04,349.52,1131,Group_Beta,PROCESSING,367.12,2176
2021-01-05,261.36,1209,Group_Beta,REJECTED,272.05,2482
2021-01-06,76.26,4281,Group_Alpha,PROCESSING,436.64,3261
2021-01-07,173.04,2041,Group_Alpha,REJECTED,453.26,3892
2021-01-08,253.73,4951,Group_Beta,PENDING,41.74,3442
2021-01-09,18.58,4059,Group_Beta,APPROVED,91.52,1470
2021-01-10,36.84,657,Group_Delta,PENDING,343.94,2984
2021-01-02,240.89,4540,Group_Gamma,APPROVED,272.58,1282
2021-01-03,314.36,4271,Group_Gamma,APPROVED,343.76,3487
2021-01-04,417.83,4772,Group_Alpha,PROCESSING,449.76,1097
2021-01-05,180.57,3348,Group_Gamma,PROCESSING,147.35,1141
2021-01-06,94.68,1091,Group_Delta,APPROVED,426.12,423
2021-01-07,297.77,374,Group_Alpha,REJECTED,168.28,2386
2021-01-08,475.01,2284,Group_Alpha,PENDING,332.56,4165
2021-01-09,236.46,2145,Group_Gamma,PENDING,20.84,1409
2021-01-10,377.85,4185,Group_Delta,REJECTED,63.95,1797
2021-01-02,73.49,1075,Group_Beta,PROCESSING,287.94,531
2021-01-03,343.5,1144,Group_Beta,APPROVED,25.61,3051
2021-01-04,383.11,4525,Group_Beta,REJECTED,58.44,3015
2021-01-05,161.74,3273,Group_Beta,PENDING,116.06,3592
2021-01-06,280.83,4153,Group_Gamma,PENDING,362.39,878
2021-01-07,180.59,2686,Group_Delta,PROCESSING,212.15,1816
2021-01-08,484.98,4519,Group_Beta,PENDING,436.57,31
2021-01-09,280.66,4418,Group_Delta,REJECTED,27.29,1533
2021-01-10,287.54,2809,Group_Alpha,APPROVED,92.33,2424
2021-01-02,315.85,4760,Group_Delta,REJECTED,421.67,614
2021-01-03,483.72,130,Group_Beta,APPROVED,211.3,680
2021-01-04,174.72,2226,Group_Alpha,APPROVED,108.94,2161
2021-01-05,223.12,2276,Group_Alpha,APPROVED,68.4,454
2021-01-06,185.27,3149,Group_Alpha,PROCESSING,98.6,4111
2021-01-07,347.35,4902,Group_Beta,REJECTED,452.77,2571
2021-01-08,355.45,4973,Group_Beta,APPROVED,309.2,3500
2021-01-09,430.35,4959,Group_Alpha,PENDING,51.78,4456
2021-01-10,50.25,509,Group_Beta,PENDING,55.84,2375
2021-01-02,354.24,3253,Group_Beta,REJECTED,398.71,246
2021-01-03,53.62,4752,Group_Delta,PENDING,129.76,1197
2021-01-04,423.56,3923,Group_Delta,PROCESSING,286.76,3565
2021-01-05,50.54,4874,Group_Gamma,APPROVED,318.84,172
2021-01-06,55.75,1402,Group_Delta,REJECTED,26.2,1517
2021-01-07,216.76,4830,Group_Delta,PROCESSING,236.14,426
2021-01-08,157.54,2053,Group_Delta,REJECTED,499.73,3772
2021-01-09,249.94,449,Group_Gamma,APPROVED,227.58,133
2021-01-10,260.26,2789,Group_Beta,APPROVED,493.28,1870
