Date,Revenue,Expenses,Profit,Margin_Pct,Unit_Price,Units_Sold,Customer_Visits,Support_Tickets,Inventory_Level,New_Signups,Region,Category,Sales_Channel,Status,Priority,CSAT_Score,NPS_Score,Conversion_Rate,Churn_Risk,Server_Uptime_Pct,Latency_ms,Error_Count,Fulfillment_Days,Transaction_ID,Customer_ID,Is_Promotional,Discount_Applied,Tax_Amount,Shipping_Cost
2023-01-11,43048.73,30181.05,12867.68,29.89,445.46,519,1615,16,1654,85,Asia-Pacific,Apparel,Online,Completed,Low,2.9,29,0.2325,0.697,99.62,160.4,0,10,8373683,CUST-48599,False,0.0,3443.9,11.77
2023-01-12,43014.05,18755.5,24258.55,56.4,127.71,729,3117,18,271,38,Asia-Pacific,Sports,Online,Shipped,Low,1.4,78,0.0482,0.3,99.135,79.4,0,12,8567206,CUST-51877,False,0.0,3441.12,10.75
2023-01-13,53629.43,22120.05,31509.38,58.75,147.31,604,4247,12,492,141,Latin America,Apparel,Retail Store,Cancelled,Low,2.2,-26,0.4208,0.093,98.09,109.8,4,5,8108976,CUST-87332,False,0.0,4290.35,22.99
2023-01-14,21300.8,31589.44,-10288.64,-48.3,36.03,436,1673,11,1226,24,Europe,Electronics,Retail Store,Completed,Medium,2.4,-100,0.0931,0.778,99.131,136.0,1,4,7233501,CUST-28067,False,0.0,1704.06,46.36
2023-01-15,24126.23,29367.46,-5241.23,-21.72,399.84,958,2636,11,911,72,Europe,Electronics,Wholesale,Completed,Low,4.1,68,0.087,0.218,98.951,103.8,4,1,5868526,CUST-17876,False,0.0,1930.1,45.9
2023-01-16,41565.69,25367.01,16198.68,38.97,214.36,664,4026,17,425,81,Middle East,Home & Kitchen,Wholesale,Shipped,High,2.3,37,0.1403,0.441,98.307,157.8,3,1,3272931,CUST-80776,False,0.0,3325.26,34.82
2023-01-17,34807.53,26153.33,8654.2,24.86,122.27,483,2152,14,330,106,Asia-Pacific,Electronics,Direct Sales,Completed,High,3.0,-98,0.3055,0.531,99.186,213.5,3,1,9415093,CUST-54152,False,0.0,2784.6,27.44
2023-01-18,54713.71,35569.34,19144.37,34.99,123.58,577,3896,21,762,144,Latin America,Books,Wholesale,Completed,High,4.1,-93,0.2853,0.685,98.348,91.8,1,13,7568604,CUST-23466,True,0.22,4377.1,31.05
2023-01-19,36379.64,25858.46,10521.18,28.92,451.69,370,731,14,1292,129,North America,Beauty,Retail Store,Completed,Low,1.8,-21,0.1053,0.487,99.623,124.7,0,3,2970399,CUST-67450,False,0.0,2910.37,34.07
2023-01-20,28815.44,29295.27,-479.83,-1.67,418.62,961,1961,11,1993,77,Latin America,Apparel,Retail Store,Completed,Critical,4.2,63,0.0569,0.695,99.237,120.2,1,4,7971005,CUST-86320,False,0.0,2305.24,27.47
2023-01-21,71984.73,47359.49,24625.24,34.21,281.23,808,4052,14,1007,83,Latin America,Home & Kitchen,Retail Store,Refunded,Medium,4.3,6,0.1338,0.814,99.743,130.9,5,4,4940546,CUST-95081,False,0.0,5758.78,28.8
2023-01-22,46613.36,18610.54,28002.82,60.07,311.89,220,1332,12,1689,117,Latin America,Home & Kitchen,Online,Refunded,Low,5.0,-61,0.3147,0.713,98.849,98.9,0,12,9477976,CUST-70534,False,0.0,3729.07,41.25
2023-01-23,51012.92,15185.26,35827.66,70.23,242.42,962,2364,15,860,137,Latin America,Home & Kitchen,Retail Store,Completed,Low,2.8,66,0.0892,0.3,99.024,97.2,4,5,8486558,CUST-55197,False,0.0,4081.03,42.81
2023-01-24,28628.78,36268.72,-7639.94,-26.69,201.92,188,2147,16,876,29,Asia-Pacific,Home & Kitchen,Retail Store,Refunded,Medium,2.5,74,0.137,0.894,99.521,98.1,1,12,8214062,CUST-90341,False,0.0,2290.3,28.48
2023-01-25,41834.26,24570.86,17263.4,41.27,458.58,929,635,12,1895,105,Latin America,Apparel,Wholesale,Completed,Medium,3.8,18,0.0972,0.551,99.093,103.8,0,12,7073044,CUST-50811,False,0.0,3346.74,31.02
2023-01-26,51663.84,27454.1,24209.74,46.86,71.55,67,3633,17,535,35,Europe,Home & Kitchen,Retail Store,Shipped,Low,1.2,87,0.1779,0.465,99.144,104.4,4,4,8026795,CUST-16815,False,0.0,4133.11,12.83
2023-01-27,32735.1,23750.75,8984.35,27.45,215.04,82,4925,15,1583,38,Europe,Apparel,Retail Store,Completed,Medium,1.2,-93,0.0394,0.575,99.107,32.3,2,5,5481520,CUST-49946,False,0.0,2618.81,21.84
2023-01-28,55635.47,27921.6,27713.87,49.81,178.84,224,3197,14,384,72,Latin America,Home & Kitchen,Online,Shipped,Critical,2.3,-27,0.3812,0.483,98.983,123.1,4,5,9518715,CUST-66181,False,0.0,4450.84,29.44
2023-01-29,40990.42,42788.3,-1797.88,-4.39,254.09,909,1375,20,791,126,Europe,Home & Kitchen,Retail Store,Completed,Low,3.9,64,0.356,0.755,99.611,109.5,2,3,4017225,CUST-26869,False,0.0,3279.23,24.76
2023-01-30,45624.59,36417.03,9207.56,20.18,234.24,787,3173,27,459,50,Asia-Pacific,Beauty,Wholesale,Completed,Low,1.5,90,0.1202,0.421,98.97,94.9,0,12,1970876,CUST-36569,False,0.0,3649.97,39.57
2023-01-31,40974.4,36897.79,4076.61,9.95,264.26,968,1125,16,103,73,North America,Books,Online,Cancelled,High,3.5,-74,0.029,0.777,99.802,123.3,2,6,8431132,CUST-13965,False,0.0,3277.95,14.75
2023-02-01,77784.17,18670.18,59113.99,76.0,78.56,82,2151,15,750,31,Latin America,Electronics,Direct Sales,Completed,Low,2.1,-6,0.1166,0.76,99.617,119.8,2,11,5772136,CUST-17026,False,0.0,6222.73,15.28
2023-02-02,49797.54,20790.77,29006.77,58.25,261.44,476,3721,11,1807,49,Europe,Electronics,Retail Store,Refunded,High,3.6,30,0.0455,0.277,99.385,106.1,2,4,9785932,CUST-49027,False,0.0,3983.8,46.67
2023-02-03,34134.34,7287.37,26846.97,78.65,128.79,280,4663,20,1148,22,Europe,Electronics,Retail Store,Completed,High,2.8,66,0.1076,0.096,99.797,120.3,2,12,9653051,CUST-22864,False,0.0,2730.75,10.12
2023-02-04,62338.17,23524.95,38813.22,62.26,100.32,508,300,17,398,36,Asia-Pacific,Books,Retail Store,Completed,Low,1.5,-95,0.0361,0.851,99.074,99.6,1,1,5752376,CUST-89024,False,0.0,4987.05,15.73
2023-02-05,31687.35,37653.63,-5966.28,-18.83,41.77,363,4503,11,1024,6,Asia-Pacific,Apparel,Direct Sales,Shipped,Low,2.0,-91,0.0701,0.169,99.644,79.1,2,6,6590929,CUST-10605,False,0.0,2534.99,38.31
2023-02-06,53132.95,34135.57,18997.38,35.75,383.7,243,3423,17,1757,24,North America,Electronics,Online,Completed,Low,1.9,56,0.1003,0.031,98.484,188.6,2,8,5066086,CUST-86705,False,0.0,4250.64,28.64
2023-02-07,20604.95,28227.89,-7622.94,-37.0,219.45,328,3458,20,442,42,Middle East,Electronics,Online,Completed,Low,1.7,-72,0.0305,0.402,98.146,102.6,3,1,6336215,CUST-87372,False,0.0,1648.4,10.46
2023-02-08,30077.21,29821.6,255.61,0.85,317.06,28,3071,9,603,5,Middle East,Electronics,Retail Store,Completed,Medium,2.9,47,0.0565,0.254,99.37,129.3,2,3,2864693,CUST-72046,False,0.0,2406.18,34.05
2023-02-09,52952.92,24488.92,28464.0,53.75,366.52,634,685,14,1230,146,Middle East,Apparel,Direct Sales,Completed,Medium,4.8,-22,0.0877,0.22,98.603,210.9,2,5,6390238,CUST-10422,True,0.06,4236.23,14.94
2023-02-10,61077.0,31638.07,29438.93,48.2,342.87,584,3445,19,896,141,North America,Books,Wholesale,Completed,Medium,3.6,-35,0.2083,0.172,99.269,105.5,5,7,4590966,CUST-39289,False,0.0,4886.16,13.6
2023-02-11,52570.52,36127.03,16443.49,31.28,240.55,381,3954,7,130,140,Latin America,Books,Direct Sales,Completed,Medium,4.3,-89,0.2464,0.749,98.155,136.1,2,11,5574607,CUST-28353,False,0.0,4205.64,17.76
2023-02-12,48265.28,17072.91,31192.37,64.63,200.07,193,4704,6,1281,20,Middle East,Sports,Retail Store,Pending,Medium,4.9,-88,0.2308,0.783,99.911,201.4,1,9,8776668,CUST-51451,True,0.1,3861.22,21.94
2023-02-13,45483.44,32397.18,13086.26,28.77,194.22,286,3524,18,875,118,Middle East,Sports,Direct Sales,Pending,Critical,3.2,7,0.3622,0.046,99.03,62.3,1,10,1766340,CUST-36090,True,0.07,3638.68,45.64
2023-02-14,27822.17,37459.48,-9637.31,-34.64,323.62,683,4200,17,1159,12,Europe,Apparel,Online,Refunded,Medium,2.0,66,0.1154,0.547,98.019,166.7,2,13,5304566,CUST-89645,False,0.0,2225.77,27.87
2023-02-15,39202.34,26679.2,12523.14,31.94,252.45,764,459,12,793,27,Europe,Beauty,Online,Pending,High,4.7,66,0.3651,0.135,98.952,127.8,3,8,6959665,CUST-42879,False,0.0,3136.19,12.68
2023-02-16,43090.42,35605.6,7484.82,17.37,426.07,154,3769,17,1520,77,Latin America,Home & Kitchen,Online,Completed,Low,3.8,1,0.2415,0.5,99.579,102.3,4,2,8503979,CUST-72104,False,0.0,3447.23,48.6
2023-02-17,65856.83,52517.24,13339.59,20.26,438.6,667,4409,13,226,38,Asia-Pacific,Apparel,Wholesale,Completed,Medium,4.8,72,0.0929,0.348,99.73,121.7,3,13,7237257,CUST-24644,False,0.0,5268.55,22.24
2023-02-18,55154.27,29165.26,25989.01,47.12,93.57,90,3577,14,560,22,North America,Home & Kitchen,Direct Sales,Completed,Medium,3.6,68,0.1356,0.202,98.923,107.3,2,9,6292466,CUST-80967,False,0.0,4412.34,47.29
2023-02-19,23554.4,33146.46,-9592.06,-40.72,76.75,331,4758,8,1692,113,Middle East,Books,Retail Store,Completed,High,4.1,-10,0.0528,0.948,98.252,175.2,2,2,5714471,CUST-23340,False,0.0,1884.35,21.6
2023-02-20,54861.26,24095.54,30765.72,56.08,318.9,444,2912,13,188,48,North America,Home & Kitchen,Retail Store,Completed,Medium,4.6,70,0.0549,0.957,99.812,119.4,2,10,7966171,CUST-32439,False,0.0,4388.9,8.89
2023-02-21,44223.77,31450.01,12773.76,28.88,157.6,842,144,15,1175,147,Europe,Sports,Online,Shipped,Low,4.0,-39,0.1467,0.564,99.962,144.4,1,6,9785581,CUST-78928,False,0.0,3537.9,33.63
2023-02-22,39846.17,33682.17,6164.0,15.47,19.1,52,2850,14,522,19,North America,Electronics,Retail Store,Shipped,Low,3.3,30,0.1322,0.188,98.126,101.5,2,4,1953689,CUST-39364,False,0.0,3187.69,47.2
2023-02-23,59175.14,31558.74,27616.4,46.67,445.43,322,733,21,1895,97,Europe,Home & Kitchen,Wholesale,Pending,Low,2.9,-92,0.1981,0.583,98.156,130.2,3,10,9412756,CUST-10372,False,0.0,4734.01,36.56
2023-02-24,65464.99,21842.44,43622.55,66.63,121.18,915,1310,15,591,131,North America,Sports,Direct Sales,Completed,Low,4.3,71,0.012,0.928,99.131,106.6,4,8,6754296,CUST-40800,False,0.0,5237.2,6.84
2023-02-25,63969.2,31650.89,32318.31,50.52,465.35,302,1849,15,243,125,Europe,Home & Kitchen,Wholesale,Completed,Medium,4.1,24,0.073,0.378,99.068,70.3,1,4,3585180,CUST-28953,False,0.0,5117.54,16.52
2023-02-26,37411.74,41697.57,-4285.83,-11.46,361.54,697,3341,12,1906,27,North America,Books,Direct Sales,Pending,High,2.5,61,0.2239,0.138,99.177,165.8,0,9,8365577,CUST-59920,False,0.0,2992.94,30.73
2023-02-27,45361.81,33589.09,11772.72,25.95,383.7,897,2868,10,1829,75,Middle East,Beauty,Direct Sales,Shipped,Low,3.0,-82,0.1434,0.694,98.634,132.2,3,2,8272732,CUST-62174,False,0.0,3628.94,5.26
2023-02-28,54968.95,37695.9,17273.05,31.42,108.72,78,693,18,535,113,Middle East,Home & Kitchen,Direct Sales,Pending,Low,3.5,-11,0.0188,0.656,98.101,147.0,2,4,2574050,CUST-59550,False,0.0,4397.52,29.12
2023-03-01,64633.18,28103.9,36529.28,56.52,124.76,65,1524,15,1387,36,Latin America,Books,Retail Store,Completed,High,1.1,-14,0.3639,0.001,99.161,94.5,1,7,9823720,CUST-24249,False,0.0,5170.65,41.05
2023-03-02,42812.39,35999.2,6813.19,15.91,265.42,640,2026,15,1770,118,North America,Electronics,Retail Store,Pending,Low,2.0,-83,0.2985,0.854,98.303,161.5,1,2,7016242,CUST-12885,False,0.0,3424.99,49.45
2023-03-03,47215.12,32234.14,14980.98,31.73,94.33,213,956,14,854,37,Asia-Pacific,Home & Kitchen,Retail Store,Pending,Critical,2.0,73,0.1175,0.661,98.683,136.4,4,1,5176147,CUST-93181,False,0.0,3777.21,29.06
2023-03-04,33404.98,22392.71,11012.27,32.97,159.66,429,651,15,296,17,Latin America,Home & Kitchen,Retail Store,Completed,Low,4.5,3,0.0904,0.196,99.165,125.3,3,2,6158152,CUST-87853,True,0.21,2672.4,35.58
2023-03-05,32056.9,32548.17,-491.27,-1.53,167.52,936,4238,17,679,120,North America,Electronics,Retail Store,Completed,Medium,2.3,68,0.2448,0.003,98.417,156.0,4,2,4796426,CUST-84869,False,0.0,2564.55,11.92
2023-03-06,62187.89,22066.43,40121.46,64.52,88.22,576,2988,14,487,141,Asia-Pacific,Sports,Retail Store,Shipped,Low,3.2,25,0.2575,0.972,99.085,108.5,1,6,2232330,CUST-27947,False,0.0,4975.03,10.29
2023-03-07,70343.6,24936.96,45406.64,64.55,110.54,559,4374,15,122,71,Middle East,Sports,Online,Completed,Critical,4.3,-52,0.2452,0.755,99.429,165.3,1,3,5458214,CUST-28537,False,0.0,5627.49,33.93
2023-03-08,48919.85,31514.63,17405.22,35.58,396.39,252,1580,21,1142,36,Middle East,Sports,Online,Shipped,High,2.0,1,0.2924,0.365,98.132,96.8,2,7,1572276,CUST-46126,False,0.0,3913.59,12.21
2023-03-09,65052.99,32377.95,32675.04,50.23,91.93,210,706,25,803,77,Middle East,Apparel,Online,Completed,High,1.5,79,0.165,0.433,99.239,121.2,2,11,1491575,CUST-98336,False,0.0,5204.24,39.35
2023-03-10,55424.54,20486.14,34938.4,63.04,23.94,757,771,7,1225,109,Asia-Pacific,Beauty,Wholesale,Completed,Low,4.8,-27,0.1064,0.539,99.019,87.2,1,4,2303877,CUST-44772,False,0.0,4433.96,36.19
2023-03-11,40323.2,38431.89,1891.31,4.69,318.38,483,3415,11,880,133,Europe,Electronics,Wholesale,Completed,Critical,3.8,70,0.1566,0.719,98.195,79.8,2,10,8024644,CUST-52801,True,0.1,3225.86,21.74
2023-03-12,55420.93,34576.05,20844.88,37.61,488.23,536,116,17,143,117,North America,Sports,Wholesale,Completed,High,1.7,37,0.1042,0.173,99.413,103.7,2,2,7641587,CUST-36034,True,0.09,4433.67,35.07
2023-03-13,73070.55,24362.17,48708.38,66.66,172.29,665,2973,21,484,110,Latin America,Electronics,Direct Sales,Completed,Medium,4.3,-16,0.1467,0.196,98.622,114.4,3,10,7934176,CUST-90982,False,0.0,5845.64,21.71
2023-03-14,49462.61,17699.32,31763.29,64.22,68.14,86,2694,13,1856,73,Latin America,Electronics,Direct Sales,Shipped,Medium,4.1,65,0.1213,0.048,98.365,139.3,3,2,5649157,CUST-36306,False,0.0,3957.01,32.86
2023-03-15,73469.65,28840.76,44628.89,60.74,289.49,994,2584,14,1504,73,Middle East,Apparel,Wholesale,Pending,Critical,4.4,-63,0.0252,0.986,98.565,97.5,1,11,6734863,CUST-46187,False,0.0,5877.57,34.69
2023-03-16,10703.82,26432.45,-15728.63,-146.94,454.11,487,715,18,506,65,Europe,Electronics,Online,Refunded,Medium,2.1,74,0.0669,0.876,99.092,140.5,1,2,2504770,CUST-78304,False,0.0,856.31,36.98
2023-03-17,62328.54,30905.12,31423.42,50.42,394.19,830,3305,17,1503,12,North America,Apparel,Retail Store,Completed,Low,2.8,34,0.2022,0.553,99.16,108.8,3,4,6748207,CUST-68724,False,0.0,4986.28,28.68
2023-03-18,51305.71,27095.07,24210.64,47.19,315.03,449,2949,14,278,11,North America,Beauty,Retail Store,Completed,High,3.8,-89,0.1482,0.43,98.339,102.7,0,8,4842230,CUST-93981,True,0.1,4104.46,21.66
2023-03-19,45514.89,13940.35,31574.54,69.37,164.38,272,4507,13,79,149,Latin America,Apparel,Retail Store,Completed,Medium,2.6,-49,0.0771,0.237,99.873,142.0,6,10,6380087,CUST-48351,False,0.0,3641.19,32.78
2023-03-20,51376.41,26893.22,24483.19,47.65,275.52,194,3907,9,1698,74,Latin America,Beauty,Direct Sales,Completed,Critical,1.3,4,0.1106,0.595,98.658,100.9,2,11,4033039,CUST-13842,False,0.0,4110.11,26.66
2023-03-21,20186.47,27555.05,-7368.58,-36.5,54.71,64,2172,12,384,58,Latin America,Beauty,Wholesale,Completed,Medium,1.5,60,0.2804,0.691,98.537,183.9,2,12,9222860,CUST-43988,False,0.0,1614.92,7.68
2023-03-22,46704.92,35069.29,11635.63,24.91,342.68,317,624,16,709,40,North America,Beauty,Online,Pending,Low,3.4,-9,0.0336,0.689,98.373,135.1,3,3,7953547,CUST-71637,True,0.1,3736.39,27.03
2023-03-23,55356.69,24414.4,30942.29,55.9,365.3,525,3273,14,618,70,Latin America,Books,Retail Store,Completed,Medium,2.5,-77,0.2453,0.006,98.241,72.1,1,6,6208470,CUST-18030,True,0.1,4428.54,21.51
2023-03-24,72168.41,43429.4,28739.01,39.82,482.87,308,1573,21,226,7,North America,Beauty,Wholesale,Completed,Medium,1.0,75,0.1422,0.702,99.964,115.8,1,4,4717872,CUST-45318,False,0.0,5773.47,7.58
2023-03-25,42225.95,14706.88,27519.07,65.17,137.59,561,2525,9,873,17,Middle East,Apparel,Wholesale,Completed,Low,4.1,-70,0.0601,0.866,99.349,97.3,1,12,3986247,CUST-45139,False,0.0,3378.08,9.87
2023-03-26,37872.6,40489.34,-2616.74,-6.91,19.04,239,3374,15,617,33,Europe,Books,Direct Sales,Completed,Medium,2.7,-19,0.0952,0.115,99.574,62.6,2,2,9848134,CUST-49542,False,0.0,3029.81,30.71
2023-03-27,42473.64,28205.45,14268.19,33.59,277.35,386,3438,16,458,61,Latin America,Electronics,Direct Sales,Shipped,Low,2.3,-78,0.2549,0.755,98.803,157.0,0,13,8239875,CUST-57042,False,0.0,3397.89,41.78
2023-03-28,63731.03,36876.68,26854.35,42.14,356.33,295,2107,18,826,14,North America,Electronics,Direct Sales,Shipped,Medium,3.9,-30,0.4974,0.823,98.829,157.8,1,3,6630373,CUST-86091,False,0.0,5098.48,26.43
2023-03-29,54931.27,30638.41,24292.86,44.22,397.3,147,4657,20,1310,67,Middle East,Home & Kitchen,Direct Sales,Completed,Critical,2.8,-29,0.0855,0.276,99.974,94.6,1,4,4757836,CUST-86518,False,0.0,4394.5,7.18
2023-03-30,42053.6,39116.44,2937.16,6.98,104.93,487,2512,23,1351,77,Asia-Pacific,Beauty,Wholesale,Shipped,Medium,3.8,17,0.2819,0.712,98.401,144.9,5,12,6084594,CUST-87922,True,0.06,3364.29,42.89
2023-03-31,57699.01,26901.1,30797.91,53.38,138.26,624,2251,15,126,112,Middle East,Home & Kitchen,Direct Sales,Completed,Medium,1.1,42,0.3421,0.097,98.654,150.7,1,11,8486592,CUST-70026,False,0.0,4615.92,34.9
2023-04-01,51456.16,21211.04,30245.12,58.78,261.17,16,3282,12,982,105,Europe,Beauty,Retail Store,Completed,Low,1.0,-63,0.1569,0.649,98.39,119.6,4,11,5648585,CUST-87238,False,0.0,4116.49,46.2
2023-04-02,64529.67,41364.03,23165.64,35.9,171.99,685,527,16,685,100,Middle East,Beauty,Online,Completed,Medium,3.2,55,0.1481,0.51,98.565,153.3,2,9,1143547,CUST-57812,False,0.0,5162.37,49.55
2023-04-03,39469.2,29092.15,10377.05,26.29,431.65,428,4664,16,589,101,Latin America,Sports,Direct Sales,Pending,Medium,4.9,-10,0.0824,0.85,99.327,130.3,5,11,6744561,CUST-55645,False,0.0,3157.54,43.09
2023-04-04,45085.07,31772.47,13312.6,29.53,242.14,481,1114,21,1727,6,Latin America,Apparel,Retail Store,Completed,High,2.1,26,0.1209,0.452,98.618,160.1,4,13,5507254,CUST-58758,False,0.0,3606.81,45.97
2023-04-05,44118.38,39878.02,4240.36,9.61,401.79,944,1704,15,1231,114,Asia-Pacific,Apparel,Online,Completed,High,3.7,-80,0.0913,0.428,99.751,79.0,1,5,4056372,CUST-49937,False,0.0,3529.47,39.58
2023-04-06,28047.28,21744.36,6302.92,22.47,294.5,429,969,13,1240,134,North America,Electronics,Direct Sales,Completed,Medium,1.7,-74,0.1788,0.934,98.097,125.2,0,7,1144937,CUST-33037,False,0.0,2243.78,46.27
2023-04-07,54441.8,34763.93,19677.87,36.14,388.81,886,2827,15,1258,127,Middle East,Books,Direct Sales,Completed,Critical,2.2,74,0.1377,0.934,98.709,127.1,1,13,2050908,CUST-76691,False,0.0,4355.34,26.19
2023-04-08,53915.83,25280.84,28634.99,53.11,173.01,285,2952,23,1462,120,Asia-Pacific,Electronics,Online,Pending,High,1.3,-45,0.2066,0.036,99.721,79.5,3,1,9001579,CUST-32121,False,0.0,4313.27,46.65
2023-04-09,50076.7,28942.65,21134.05,42.2,417.39,570,985,15,61,41,Latin America,Beauty,Retail Store,Shipped,Low,4.5,24,0.2125,0.486,99.243,82.9,3,1,4897739,CUST-66715,False,0.0,4006.14,14.56
2023-04-10,46481.19,30578.23,15902.96,34.21,144.54,617,2708,12,218,134,North America,Sports,Retail Store,Pending,Medium,2.2,5,0.1468,0.161,99.542,64.6,3,6,6787172,CUST-39836,False,0.0,3718.5,10.32
2023-04-11,28769.44,17998.23,10771.21,37.44,277.59,580,1373,22,880,65,North America,Books,Wholesale,Refunded,High,1.9,41,0.1217,0.274,98.647,121.6,1,7,5898887,CUST-13203,False,0.0,2301.56,26.24
2023-04-12,43690.32,23769.3,19921.02,45.6,114.86,752,4526,19,1499,44,Europe,Home & Kitchen,Wholesale,Shipped,High,3.9,-80,0.2703,0.666,98.739,104.6,2,1,5503359,CUST-45358,False,0.0,3495.23,16.6
2023-04-13,44859.28,40808.58,4050.7,9.03,243.01,698,2055,13,1966,29,Latin America,Beauty,Direct Sales,Completed,Low,1.8,-87,0.308,0.129,99.776,74.8,2,4,7864119,CUST-25787,False,0.0,3588.74,34.46
2023-04-14,37965.84,37089.53,876.31,2.31,165.91,99,686,15,498,127,North America,Apparel,Retail Store,Completed,Medium,2.0,6,0.5556,0.011,99.499,162.6,1,6,9828907,CUST-26695,True,0.29,3037.27,41.72
2023-04-15,47580.71,29498.88,18081.83,38.0,140.68,291,300,17,1567,41,Europe,Electronics,Retail Store,Completed,Medium,1.4,-31,0.424,0.727,98.769,134.0,4,2,4091054,CUST-26133,True,0.22,3806.46,14.75
2023-04-16,56060.76,31944.99,24115.77,43.02,483.82,557,4649,10,498,31,Europe,Electronics,Direct Sales,Completed,Low,4.9,-73,0.3009,0.641,98.431,94.6,4,9,4152302,CUST-99542,False,0.0,4484.86,8.14
2023-04-17,78292.79,27646.06,50646.73,64.69,88.44,180,3717,14,1179,88,Latin America,Home & Kitchen,Online,Completed,High,2.0,12,0.2788,0.903,98.213,127.1,0,10,2006113,CUST-67041,True,0.18,6263.42,32.36
2023-04-18,52618.67,40852.67,11766.0,22.36,395.79,647,925,12,1839,48,North America,Electronics,Online,Pending,High,5.0,64,0.4622,0.542,99.724,111.7,2,2,1935678,CUST-72705,False,0.0,4209.49,34.67
2023-04-19,53863.26,28397.18,25466.08,47.28,492.24,820,210,24,476,76,North America,Electronics,Wholesale,Completed,Medium,1.7,1,0.33,0.945,99.395,65.3,3,10,1477282,CUST-42869,True,0.07,4309.06,31.11
2023-04-20,48883.31,31854.74,17028.57,34.84,19.75,364,3011,18,1005,136,Middle East,Books,Direct Sales,Pending,Low,1.1,-34,0.1227,0.609,99.215,129.6,4,5,7764778,CUST-36354,True,0.19,3910.66,36.1
2023-04-21,21218.43,39168.24,-17949.81,-84.6,352.52,213,3999,13,965,59,North America,Beauty,Online,Completed,High,4.6,23,0.1768,0.387,99.553,177.4,1,1,5168042,CUST-65005,False,0.0,1697.47,7.59
2023-04-22,49602.29,23781.03,25821.26,52.06,133.93,298,1007,17,1171,77,Europe,Books,Direct Sales,Completed,Medium,3.3,-68,0.1768,0.608,99.83,169.4,3,6,3617678,CUST-63069,False,0.0,3968.18,35.8
2023-04-23,50903.45,42470.31,8433.14,16.57,29.84,877,3815,17,680,16,Asia-Pacific,Books,Retail Store,Completed,Low,2.4,-89,0.0696,0.749,99.523,123.6,4,11,9342621,CUST-33907,False,0.0,4072.28,27.91
2023-04-24,86948.63,17756.31,69192.32,79.58,207.42,471,3789,13,275,146,Latin America,Electronics,Online,Completed,Low,3.1,39,0.0512,0.348,98.841,104.7,1,3,3833320,CUST-75803,True,0.28,6955.89,17.93
