date,field_1,field_4,field_5,field_8,field_11,field_29
2021-01-03,630.25,ACTIVE,427.15,ACTIVE,Category_C,784.38
2021-01-04,652.98,ACTIVE,879.93,FAILED,Category_C,213.67
2021-01-05,861.62,ACTIVE,489.19,ACTIVE,Category_C,399.2
2021-01-06,616.85,COMPLETED,301.66,FAILED,Category_B,841.11
2021-01-07,486.61,PENDING,631.29,PENDING,Category_A,437.19
2021-01-08,752.7,PENDING,777.81,PENDING,Category_B,832.72
2021-01-09,208.04,ACTIVE,532.94,ACTIVE,Category_E,270.87
2021-01-10,928.23,COMPLETED,171.42,PENDING,Category_E,705.81
2021-01-02,280.69,PENDING,646.35,COMPLETED,Category_D,131.42
2021-01-03,569.58,ACTIVE,12.6,PENDING,Category_C,471.02
2021-01-04,548.3,ACTIVE,442.8,FAILED,Category_A,467.51
2021-01-05,569.64,ACTIVE,118.62,FAILED,Category_D,692.59
2021-01-06,74.22,FAILED,732.05,PENDING,Category_E,909.14
2021-01-07,558.76,PENDING,599.69,PENDING,Category_A,504.81
2021-01-08,47.1,COMPLETED,791.62,COMPLETED,Category_E,57.21
2021-01-09,306.54,PENDING,642.95,COMPLETED,Category_A,399.27
2021-01-10,142.12,PENDING,384.73,PENDING,Category_E,483.64
2021-01-02,807.46,COMPLETED,755.34,FAILED,Category_D,131.54
2021-01-03,410.34,ACTIVE,574.6,ACTIVE,Category_E,21.98
2021-01-04,753.03,COMPLETED,54.84,PENDING,Category_E,488.02
2021-01-05,727.69,PENDING,127.93,COMPLETED,Category_B,793.47
2021-01-06,760.65,COMPLETED,615.87,FAILED,Category_A,775.47
2021-01-07,275.01,ACTIVE,65.62,PENDING,Category_A,123.45
2021-01-08,991.38,ACTIVE,394.78,COMPLETED,Category_C,163.4
2021-01-09,177.85,FAILED,152.27,PENDING,Category_A,229.16
2021-01-10,58.79,PENDING,960.68,ACTIVE,Category_D,716.29
2021-01-02,216.59,ACTIVE,213.43,ACTIVE,Category_C,405.03
2021-01-03,919.05,FAILED,380.69,FAILED,Category_D,936.92
2021-01-04,111.36,ACTIVE,812.91,COMPLETED,Category_B,709.4
2021-01-05,177.72,PENDING,963.47,COMPLETED,Category_D,448.11
2021-01-06,147.14,COMPLETED,958.44,FAILED,Category_A,478.51
2021-01-07,42.0,COMPLETED,592.63,ACTIVE,Category_B,591.53
2021-01-08,971.2,ACTIVE,807.36,ACTIVE,Category_B,839.82
2021-01-09,317.7,FAILED,540.33,FAILED,Category_D,31.73
2021-01-10,78.36,COMPLETED,526.27,PENDING,Category_B,473.66
2021-01-02,120.8,COMPLETED,843.93,FAILED,Category_E,581.55
2021-01-03,579.34,PENDING,448.81,COMPLETED,Category_D,922.51
2021-01-04,540.11,PENDING,363.56,ACTIVE,Category_D,72.93
2021-01-05,115.99,COMPLETED,785.27,FAILED,Category_C,939.42
2021-01-06,601.39,COMPLETED,996.91,PENDING,Category_E,776.89
2021-01-07,609.05,COMPLETED,755.81,COMPLETED,Category_E,322.95
2021-01-08,828.12,PENDING,260.32,COMPLETED,Category_A,968.77
2021-01-09,385.75,COMPLETED,371.94,FAILED,Category_D,226.06
2021-01-10,279.22,COMPLETED,321.35,PENDING,Category_B,195.08
2021-01-02,674.91,ACTIVE,514.54,ACTIVE,Category_E,131.14
2021-01-03,494.72,PENDING,927.23,FAILED,Category_B,955.53
2021-01-04,422.55,PENDING,524.8,PENDING,Category_C,508.08
2021-01-05,452.83,PENDING,914.56,ACTIVE,Category_B,895.08
2021-01-06,988.57,FAILED,260.64,ACTIVE,Category_A,525.61
2021-01-07,157.36,PENDING,276.09,FAILED,Category_C,606.55
2021-01-08,59.03,PENDING,819.56,COMPLETED,Category_E,375.64
2021-01-09,286.74,PENDING,916.67,PENDING,Category_E,672.46
2021-01-10,726.71,ACTIVE,135.57,PENDING,Category_A,396.3
2021-01-02,375.77,FAILED,803.37,PENDING,Category_D,742.23
2021-01-03,183.98,COMPLETED,17.08,ACTIVE,Category_B,603.91
2021-01-04,830.29,COMPLETED,153.62,PENDING,Category_B,816.93
2021-01-05,536.13,PENDING,339.35,FAILED,Category_E,866.58
2021-01-06,539.62,FAILED,358.78,ACTIVE,Category_A,44.49
2021-01-07,199.08,FAILED,160.72,PENDING,Category_E,770.75
2021-01-08,678.95,COMPLETED,58.23,PENDING,Category_B,561.67
2021-01-09,470.41,ACTIVE,703.4,COMPLETED,Category_B,689.62
2021-01-10,947.42,FAILED,244.19,ACTIVE,Category_A,134.09
2021-01-02,302.2,ACTIVE,308.65,ACTIVE,Category_E,160.44
2021-01-03,738.75,PENDING,295.29,COMPLETED,Category_E,417.5
2021-01-04,796.27,FAILED,902.15,PENDING,Category_D,640.91
2021-01-05,808.73,PENDING,130.99,FAILED,Category_B,949.67
2021-01-06,100.8,PENDING,495.29,PENDING,Category_E,58.29
2021-01-07,221.95,PENDING,101.57,COMPLETED,Category_A,512.31
2021-01-08,657.69,ACTIVE,997.77,ACTIVE,Category_E,857.91
2021-01-09,161.1,ACTIVE,604.61,ACTIVE,Category_A,567.67
2021-01-10,537.02,PENDING,370.48,FAILED,Category_C,350.88
2021-01-02,981.62,ACTIVE,248.18,PENDING,Category_A,444.02
2021-01-03,317.36,PENDING,200.94,PENDING,Category_C,757.44
2021-01-04,152.97,FAILED,14.01,ACTIVE,Category_B,987.33
2021-01-05,203.86,FAILED,474.35,FAILED,Category_B,670.84
2021-01-06,382.17,PENDING,371.85,PENDING,Category_B,833.21
2021-01-07,652.75,PENDING,869.7,COMPLETED,Category_B,659.43
2021-01-08,657.16,PENDING,474.19,COMPLETED,Category_D,914.64
2021-01-09,147.58,PENDING,457.81,PENDING,Category_E,966.56
2021-01-10,898.69,FAILED,903.3,ACTIVE,Category_A,369.03
2021-01-02,735.85,ACTIVE,14.19,FAILED,Category_E,683.26
2021-01-03,629.79,COMPLETED,582.05,FAILED,Category_A,43.51
2021-01-04,547.58,ACTIVE,892.08,PENDING,Category_A,898.34
2021-01-05,228.54,FAILED,775.54,COMPLETED,Category_A,680.04
2021-01-06,102.47,FAILED,595.55,FAILED,Category_B,261.12
2021-01-07,614.04,ACTIVE,980.33,ACTIVE,Category_B,247.05
2021-01-08,357.68,COMPLETED,917.08,PENDING,Category_A,154.24
2021-01-09,999.23,COMPLETED,748.09,ACTIVE,Category_D,567.97
2021-01-10,900.25,COMPLETED,839.96,ACTIVE,Category_D,98.56
2021-01-02,435.52,COMPLETED,884.48,COMPLETED,Category_B,474.19
2021-01-03,701.76,FAILED,202.45,PENDING,Category_A,536.36
2021-01-04,126.7,PENDING,151.35,FAILED,Category_C,197.61
2021-01-05,394.74,FAILED,438.73,FAILED,Category_A,297.82
2021-01-06,879.22,PENDING,941.77,ACTIVE,Category_D,878.91
2021-01-07,113.51,PENDING,77.53,FAILED,Category_D,873.89
2021-01-08,18.91,ACTIVE,163.14,FAILED,Category_D,261.81
2021-01-09,15.09,PENDING,103.33,PENDING,Category_B,639.08
2021-01-10,368.55,PENDING,267.5,PENDING,Category_C,15.17
2021-01-02,136.6,COMPLETED,719.78,PENDING,Category_A,397.87
2021-01-03,893.19,COMPLETED,347.55,FAILED,Category_D,471.34
2021-01-04,814.1,ACTIVE,127.37,PENDING,Category_C,471.89
2021-01-05,556.35,PENDING,329.07,ACTIVE,Category_D,606.28
2021-01-06,839.53,PENDING,815.66,PENDING,Category_B,993.33
2021-01-07,177.34,PENDING,453.76,PENDING,Category_E,65.77
2021-01-08,978.41,PENDING,143.03,ACTIVE,Category_A,390.64
2021-01-09,502.51,ACTIVE,392.27,COMPLETED,Category_A,49.85
2021-01-10,640.42,COMPLETED,776.49,ACTIVE,Category_D,301.12
2021-01-02,618.8,PENDING,42.22,ACTIVE,Category_C,125.87
2021-01-03,149.08,COMPLETED,33.44,COMPLETED,Category_C,121.3
2021-01-04,342.82,FAILED,682.13,FAILED,Category_D,327.24
2021-01-05,583.99,ACTIVE,208.32,FAILED,Category_E,31.83
2021-01-06,442.17,COMPLETED,988.37,PENDING,Category_D,414.52
2021-01-07,966.28,COMPLETED,785.06,COMPLETED,Category_B,841.24
2021-01-08,358.33,COMPLETED,927.86,FAILED,Category_A,115.86
2021-01-09,385.16,FAILED,109.87,PENDING,Category_B,378.74
2021-01-10,985.66,COMPLETED,478.01,PENDING,Category_D,316.28
